,,,,,,,,,,,,
,,,,,,,,,,,,
iris  Restr: 10%,,,,,,,,,,,,
Seed,Tasa_C,Tasa_inf,T,Tasa_C,Tasa_inf,T,Tasa_C,Tasa_inf,T,Tasa_C,Tasa_inf,T
123,0.67,0.00,0.11,31.70,0.00,0.67,0.76,0.00,0.11,14.29,0.00,0.13
456,0.67,0.00,0.11,34.23,4.00,0.59,0.76,0.00,0.10,14.29,0.00,0.15
789,0.67,0.00,0.12,29.96,0.00,0.67,0.76,0.00,0.10,14.29,0.00,0.15
101112,0.67,0.00,0.11,33.04,0.00,0.59,0.76,0.00,0.11,14.29,0.00,0.15
131415,0.67,0.00,0.10,35.16,6.00,0.83,0.76,0.00,0.10,14.29,0.00,0.13
,0.67,0.00,0.11,32.82,2.00,0.67,0.76,0.00,0.11,14.29,0.00,0.14
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
iris  Restr: 20%,,,,,,,,,,,,
Seed,Tasa_C,Tasa_inf,T,Tasa_C,Tasa_inf,T,Tasa_C,Tasa_inf,T,Tasa_C,Tasa_inf,T
123,0.67,0.00,0.13,28.40,0.00,0.97,0.76,0.00,0.13,14.29,0.00,0.18
456,0.67,0.00,0.13,32.29,0.00,0.83,0.76,0.00,0.11,14.29,0.00,0.18
789,0.67,0.00,0.13,33.46,0.00,0.96,0.76,0.00,0.13,14.29,0.00,0.18
101112,0.67,0.00,0.13,28.40,0.00,0.83,0.76,0.00,0.14,14.29,0.00,0.18
131415,0.67,0.00,0.14,29.61,0.00,0.97,0.76,0.00,0.13,14.29,0.00,0.18
,0.67,0.00,0.13,30.43,0.00,0.91,0.76,0.00,0.13,14.29,0.00,0.18
