,,,,,,,,,,,,,,,,
iris  Restr: 10%,,,,,,,,,,,,,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T
123,0.67,0.00,0.67,1.45,21.25,110.00,24.30,20.58,0.76,0.00,0.76,1.00,10.82,117.00,15.30,2.84
456,0.67,0.00,0.67,1.32,21.35,114.00,24.50,42.41,0.76,0.00,0.76,0.97,10.82,105.00,14.84,3.44
789,0.67,0.00,0.67,1.09,22.14,74.00,24.19,17.89,0.76,0.00,0.76,1.13,13.83,6.00,14.07,2.83
101112,0.67,0.00,0.67,1.06,22.18,66.00,24.01,22.93,0.76,0.00,0.76,1.01,10.89,95.00,14.54,2.63
131415,0.67,0.00,0.67,1.36,22.26,45.00,23.50,15.34,0.76,0.00,0.76,0.82,10.89,98.00,14.65,3.15
,0.67,0.00,0.67,1.26,21.84,81.80,24.10,23.83,0.76,0.00,0.76,0.99,11.45,84.20,14.68,2.98
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
iris  Restr: 20%,,,,,,,,,,,,,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T
123,0.67,0.00,0.67,0.91,21.57,239.00,24.82,20.09,0.76,0.00,0.76,1.00,10.88,229.00,15.17,2.67
456,0.67,0.00,0.67,1.08,21.92,158.00,24.07,15.74,0.76,0.00,0.76,1.06,10.82,264.00,15.76,3.03
789,0.67,0.00,0.67,1.46,21.94,147.00,23.94,22.05,0.76,0.00,0.76,1.09,14.29,0.00,14.29,2.56
101112,0.67,0.00,0.67,1.15,21.80,177.00,24.21,20.55,0.76,0.00,0.76,1.06,14.29,0.00,14.29,2.70
131415,0.67,0.00,0.67,1.14,21.77,156.00,23.89,20.10,0.76,0.00,0.76,0.92,14.29,0.00,14.29,2.80
,0.67,0.00,0.67,1.15,21.80,175.40,24.19,19.70,0.76,0.00,0.76,1.03,12.91,98.60,14.76,2.75
